IDBASE;LIBELLEFRANCAIS;GENRE;ESPECE;ADRESSE;TYPEEMPLACEMENT;DOMANIALITE;ARRONDISSEMENT;COMPLEMENTADRESSE;NUMERO;IDEMPLACEMENT;CIRCONFERENCE EN CM;HAUTEUR EN M;STADEDEVELOPPEMENT;PEPINIERE;VARIETE OU CULTIVAR;DATEPLANTATION;REMARQUABLE;Geo point
135378.0;Platane;Platanus;orientalis;SQUARE DES BATIGNOLLES;Arbre;Jardin;PARIS 17E ARRDT;17-08;;00000187;468.0;30.0;Mature;Inconnue;;1700-01-01T01:02:49+00:53;OUI;48.8875264747,2.31617875419
134212.0;Tulipier;Liriodendron;tulipifera;SQUARE DES EPINETTES;Arbre;Jardin;PARIS 17E ARRDT;17-03;;00000134;253.0;18.0;Adulte;Inconnue;;1700-01-01T01:02:49+00:53;OUI;48.8946228565,2.3268523785
123071.0;Metaséquoia;Metasequoia;glyptostroboides;SQUARE DE LA VILLA SAINTE CROIX / 10 VILLA SAINTE CROIX;Arbre;Jardin;PARIS 17E ARRDT;;;000101005;250.0;19.0;Mature;Inconnue;;1995-04-01T04:00:00+02:00;OUI;48.8939378118,2.3244386679
125051.0;Tamaris;Tamarix;n. sp.;SQUARE JEAN XXIII / 2 QUAI DE L ARCHEVECHE;Arbre;Jardin;PARIS 4E ARRDT;;;000102002;230.0;3.0;Mature;Inconnue;;1700-01-01T01:02:49+00:53;OUI;48.8523548437,2.35180991736
2002347.0;Cyprès Chauve;Taxodium;distichum;GRANDE CASCADE - CARREFOUR DE LONGCHAMP;Arbre;Jardin;BOIS DE BOULOGNE;16-07;;000301001;311.0;28.0;Mature;Inconnue;;1859-01-01T01:02:49+00:53;OUI;48.863263161,2.24072476384
2002357.0;Platane;Platanus;x hispanica;ROUTE DE LA CEINTURE DU LAC DAUMESNIL;Arbre;Jardin;BOIS DE VINCENNES;12-30;;12-30;510.0;27.0;Mature;Inconnue;;1871-01-01T01:02:49+00:53;OUI;48.8292532091,2.41318205865
2002365.0;Platane;Platanus;x hispanica;ILE DE BERCY / LAC DAUMESNIL;Arbre;Jardin;BOIS DE VINCENNES;12-07;;12-07;410.0;35.0;Mature;Inconnue;;1860-01-01T01:02:49+00:53;OUI;48.8322968473,2.4106783229
2017817.0;Chêne;Quercus;cerris;PLACE DE LA REPUBLIQUE;Arbre;Alignement;PARIS 10E ARRDT;;;000401009;51.0;7.0;Jeune (arbre);Guillot Bourne;;2017-11-09T02:00:00+01:00;OUI;48.8682954419,2.36318943607
2002397.0;Cyprès Chauve;Taxodium;distichum;BERGE DU LAC INFERIEUR - CHEMIN DE CEINTURE DU LAC INFERIEUR;Arbre;Jardin;BOIS DE BOULOGNE;16-03;;000101003;354.0;32.0;Mature;Inconnue;;1862-01-01T01:02:49+00:53;OUI;48.8606050739,2.25977704939
111642.0;Erable;Acer;saccharinum;SQUARE SAINT LAMBERT / 2 RUE JEAN FORMIGE;Arbre;Jardin;PARIS 15E ARRDT;15-04;;000102015;240.0;20.0;Adulte;Inconnue;;1700-01-01T01:02:49+00:53;OUI;48.8427836654,2.29686133132
126662.0;Platane;Platanus;x hispanica;SQUARE THOMAS JEFFERSSON;Arbre;Jardin;PARIS 16E ARRDT;;;00000012;151.0;13.0;Adulte;Inconnue;;1700-01-01T01:02:49+00:53;OUI;48.8682621216,2.29353225481
152606.0;Cèdre;Cedrus;libani;CIMETIERE DU PERE LACHAISE / DIV 4;Arbre;CIMETIERE;PARIS 20E ARRDT;20-16;;D00000004036;372.0;25.0;Mature;Inconnue;;1700-01-01T01:02:49+00:53;OUI;48.8608096279,2.39184377559
147672.0;Marronnier;Aesculus;hippocastanum;CIMETIERE DU PERE LACHAISE / DIV 76;Arbre;CIMETIERE;PARIS 20E ARRDT;20-15;;D00000076032;347.0;22.0;Mature;Inconnue;;1700-01-01T01:02:49+00:53;OUI;48.8597425245,2.39998313637
114685.0;Mûrier;Morus;nigra;JARDIN DE L AVENUE FOCH / 10 AVENUE FOCH;Arbre;Jardin;PARIS 16E ARRDT;PELOUSE 14 - 11 à 27;;000103010;169.0;8.0;Mature;Inconnue;;1700-01-01T01:02:49+00:53;OUI;48.8729000638,2.29056540474
113547.0;Platane;Platanus;x hispanica;PARC MONTSOURIS / 28 BOULEVARD JOURDAN;Arbre;Jardin;PARIS 14E ARRDT;Plateau Baigneuses;;0420A1001;610.0;25.0;Mature;Inconnue;;1700-01-01T01:02:49+00:53;OUI;48.8227147039,2.33868841423
106715.0;Plaqueminier;Diospyros;kaki;JARDIN DU CHAMP DE MARS ET PELOUSES DE L ECOLE MILITAIRE;Arbre;Jardin;PARIS 7E ARRDT;Canton 09;;P00905010;118.0;14.0;Adulte;Inconnue;;1700-01-01T01:02:49+00:53;OUI;48.8558049513,2.30030293309
121632.0;Hêtre;Fagus;sylvatica;SQUARE DU SERMENT DE KOUFRA;Arbre;Jardin;PARIS 14E ARRDT;14-09;;00000174;315.0;15.0;Mature;Inconnue;''Atropunicea'';1700-01-01T01:02:49+00:53;OUI;48.8217882346,2.3228497157
120518.0;Pterocarya;Pterocarya;fraxinifolia;SQUARE LOUISE MICHEL / 6 PLACE SAINT PIERRE;Arbre;Jardin;PARIS 18E ARRDT;Le grand Talus;;000504012;374.0;26.0;Mature;Inconnue;;1700-01-01T01:02:49+00:53;OUI;48.8860986781,2.3446801359
138935.0;Cèdre;Cedrus;libani;SQUARE CLAUDE DEBUSSY / 51 AVENUE DU MARECHAL FAYOLLE;Arbre;Jardin;PARIS 16E ARRDT;16-24;;000101001;220.0;6.0;Mature;Inconnue;''Glauca Pendula'';1700-01-01T01:02:49+00:53;OUI;48.8672280446,2.27026875561
2002380.0;Pin;Pinus;bungeana;ARBORETUM DE L ECOLE DU BREUIL - ROUTE DE LA FERME / ROUTE DE LA PYRAMIDE;Arbre;Jardin;BOIS DE VINCENNES;12-19;;12-19;78.0;16.0;Adulte;Inconnue;;2000-01-01T02:00:00+01:00;OUI;48.8213206283,2.45536669589
2002381.0;Orme de Sibérie;Zelkova;carpinifolia;ARBORETUM DE L ECOLE DU BREUIL - ROUTE DE LA FERME / ROUTE DE LA PYRAMIDE;Arbre;Jardin;BOIS DE VINCENNES;12-21;;12-21;315.0;18.0;Mature;Inconnue;;2000-01-01T02:00:00+01:00;OUI;48.821579307,2.45494663547
